   FT   ID   AT   WT   ST
    3   10    1    0    2
    4    9    1    0    3
    9   12    4    0    5
    9   14    6    0    3
   12   13    5    4    3
   15   18   11    1    3
   16   11    2    0   14
   16    8   10    0    6
   17   15    7    0   10
   18   20   14    2    2
   23   17   11    6    6
   24   22   16    2    6
   25   19   13    0   12
   31   23   18    5    8
   33   21   14    9   10
   35   99   31    0    4
   36   24   23    9    4
   44   26   32    9    3
   45   33   42    1    2
   46    7   31    0   15
   48   29   36    9    3
   48   30   37    7    4
   48   27   34    0   14
   49   28   35    1   13
   50   36   47    1    2
   54   38   49    0    5
   59   34   42    4   13
   60   39   54    0    6
   61    6   36   12   13
   62   31   38   19    5
   70   40   56    5    9
   73   32   41   21   11
   80   41   63    0   17
   83   35   45   33    5
   97   37   47   46    4
  104   42   63   34    7
Orders : 36 [ Norm : 6, Veg : 12, VIP : 18 ]
Cooks : 5 [ Norm : 2, Veg : 2, VIP : 1, Injured 14 ]
AVG Wait = 6.66667, AVG Serv :7
Urgent orders :0,Auto - promoted : 33.3333%
